epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7867,1.80163,2.32284,1.65145,0.40465,0.29977,0.2643,0.10765,2.21941,2.40582,1.95612,0.000664917,0.000664917,0.000664917
2,176.448,1.86268,1.96185,1.71029,0.42905,0.40832,0.36056,0.14626,2.09609,2.65131,1.9268,0.00130522,0.00130522,0.00130522
3,252.316,1.86637,1.9076,1.72539,0.43865,0.32336,0.31674,0.1256,2.24879,2.30972,2.03526,0.00191912,0.00191912,0.00191912
4,326.712,1.82775,1.83967,1.69168,0.47641,0.37342,0.36856,0.15568,2.09487,2.14218,1.97842,0.0018812,0.0018812,0.0018812
5,401.35,1.78239,1.76738,1.67333,0.55426,0.47737,0.47434,0.21375,1.9551,1.82888,1.83342,0.0018416,0.0018416,0.0018416
6,476.448,1.7605,1.73535,1.65302,0.57285,0.47852,0.49712,0.23426,1.92647,1.80653,1.8002,0.001802,0.001802,0.001802
7,551.292,1.73542,1.67929,1.6341,0.59762,0.47884,0.5102,0.24048,1.93936,1.75203,1.80754,0.0017624,0.0017624,0.0017624
8,625.617,1.71474,1.66779,1.61739,0.61632,0.4686,0.52132,0.24874,1.8949,1.75125,1.80624,0.0017228,0.0017228,0.0017228
9,700.421,1.69954,1.61456,1.6001,0.62289,0.50153,0.54179,0.25423,1.87768,1.69634,1.73434,0.0016832,0.0016832,0.0016832
10,775.33,1.68383,1.57915,1.58662,0.56044,0.4626,0.47542,0.22461,1.94314,1.81463,1.81435,0.0016436,0.0016436,0.0016436
11,850.241,1.67818,1.5619,1.58784,0.64022,0.52593,0.56985,0.2831,1.79606,1.61936,1.70274,0.001604,0.001604,0.001604
12,925.251,1.66278,1.52658,1.57203,0.67878,0.55217,0.61174,0.30573,1.79919,1.5107,1.66933,0.0015644,0.0015644,0.0015644
13,1000.17,1.65484,1.52167,1.56905,0.63074,0.47334,0.52068,0.25389,1.92626,1.75101,1.77291,0.0015248,0.0015248,0.0015248
14,1074.7,1.62914,1.49012,1.55218,0.62115,0.50269,0.54594,0.27458,1.84818,1.65664,1.73634,0.0014852,0.0014852,0.0014852
15,1149.81,1.62193,1.47751,1.54767,0.64741,0.55792,0.60557,0.30173,1.80898,1.49993,1.6713,0.0014456,0.0014456,0.0014456
16,1225.11,1.60952,1.47261,1.54284,0.6906,0.57959,0.6359,0.31963,1.79624,1.50322,1.69053,0.001406,0.001406,0.001406
17,1300.04,1.61066,1.45638,1.53231,0.71371,0.57854,0.65447,0.33428,1.76688,1.44424,1.63568,0.0013664,0.0013664,0.0013664
18,1374.98,1.60452,1.44168,1.52627,0.68627,0.60012,0.65459,0.33456,1.74342,1.43676,1.62916,0.0013268,0.0013268,0.0013268
19,1449.95,1.60016,1.44088,1.53021,0.70196,0.58189,0.64251,0.33457,1.74565,1.4329,1.62721,0.0012872,0.0012872,0.0012872
20,1525.15,1.58361,1.4166,1.51162,0.69385,0.59359,0.66054,0.34283,1.73145,1.38794,1.62315,0.0012476,0.0012476,0.0012476
21,1600.12,1.56902,1.38966,1.50449,0.69451,0.58554,0.64452,0.33572,1.75336,1.37592,1.61849,0.001208,0.001208,0.001208
22,1675.2,1.56503,1.37265,1.50114,0.73194,0.58592,0.66515,0.34994,1.74192,1.35579,1.61608,0.0011684,0.0011684,0.0011684
23,1750.26,1.56706,1.38593,1.50246,0.71563,0.59954,0.67753,0.36038,1.69934,1.34228,1.59239,0.0011288,0.0011288,0.0011288
24,1824.86,1.54808,1.35923,1.49263,0.71739,0.58976,0.67338,0.35326,1.70275,1.35371,1.5858,0.0010892,0.0010892,0.0010892
