epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.732,1.82541,2.26802,1.69587,0.39757,0.39068,0.32107,0.12422,2.15371,3.08916,2.06472,0.000664917,0.000664917,0.000664917
2,234.113,1.90254,2.02055,1.7859,0.52443,0.44227,0.42828,0.1763,2.08652,2.21145,1.99901,0.00130522,0.00130522,0.00130522
3,345.453,1.88799,1.95961,1.7794,0.51264,0.41523,0.41498,0.16538,2.1548,2.02241,1.98778,0.00191912,0.00191912,0.00191912
4,456.521,1.84022,1.87246,1.73962,0.4963,0.39476,0.39123,0.16792,2.08556,2.10214,1.9778,0.0018812,0.0018812,0.0018812
5,566.491,1.80298,1.82278,1.73583,0.56529,0.44169,0.45555,0.20872,1.97336,1.90906,1.8805,0.0018416,0.0018416,0.0018416
6,676.251,1.77378,1.7705,1.69172,0.6085,0.45033,0.49187,0.22523,1.99389,1.84353,1.86129,0.001802,0.001802,0.001802
7,785.403,1.74525,1.7025,1.67918,0.62451,0.49904,0.54393,0.25256,1.91228,1.82185,1.80591,0.0017624,0.0017624,0.0017624
8,894.355,1.72567,1.68377,1.66448,0.56901,0.47147,0.49291,0.23359,1.95242,1.79524,1.84459,0.0017228,0.0017228,0.0017228
9,1003,1.70943,1.63033,1.64503,0.6447,0.52282,0.56877,0.27168,1.87217,1.66829,1.75785,0.0016832,0.0016832,0.0016832
10,1111.82,1.70042,1.59984,1.63713,0.64051,0.48907,0.52883,0.24098,1.92465,1.7114,1.80915,0.0016436,0.0016436,0.0016436
11,1220.36,1.68779,1.59197,1.63047,0.68369,0.54891,0.60266,0.2956,1.82565,1.5569,1.73749,0.001604,0.001604,0.001604
12,1328.86,1.67494,1.55603,1.61756,0.67368,0.56224,0.6175,0.30801,1.79306,1.47744,1.70362,0.0015644,0.0015644,0.0015644
13,1437.61,1.66298,1.53935,1.60776,0.63747,0.48657,0.53834,0.26268,1.84888,1.71099,1.74554,0.0015248,0.0015248,0.0015248
14,1546.06,1.63676,1.51485,1.5934,0.67815,0.53586,0.59359,0.30201,1.80577,1.55445,1.71474,0.0014852,0.0014852,0.0014852
15,1654.73,1.62876,1.50023,1.59337,0.68277,0.57557,0.63478,0.31102,1.7871,1.47128,1.71898,0.0014456,0.0014456,0.0014456
16,1763.21,1.62227,1.49142,1.58193,0.68806,0.58228,0.64169,0.32207,1.78278,1.49655,1.70548,0.001406,0.001406,0.001406
17,1871.93,1.617,1.47731,1.57942,0.68324,0.58535,0.63842,0.32095,1.78523,1.44289,1.69408,0.0013664,0.0013664,0.0013664
18,1980.29,1.60109,1.44735,1.56724,0.69804,0.56484,0.64117,0.33083,1.7603,1.44425,1.68723,0.0013268,0.0013268,0.0013268
19,2088.3,1.6103,1.4597,1.58306,0.69429,0.5631,0.63038,0.31832,1.78267,1.4533,1.70174,0.0012872,0.0012872,0.0012872
20,2196.91,1.59638,1.4368,1.56249,0.73341,0.592,0.67266,0.3461,1.73687,1.40236,1.68384,0.0012476,0.0012476,0.0012476
21,2304.75,1.57442,1.40642,1.55477,0.69,0.59187,0.64994,0.33349,1.75207,1.36819,1.6733,0.001208,0.001208,0.001208
22,2412.37,1.57867,1.39462,1.55556,0.72072,0.59781,0.66897,0.34831,1.72856,1.32991,1.66692,0.0011684,0.0011684,0.0011684
23,2521.49,1.58138,1.39924,1.55323,0.73705,0.60157,0.68141,0.35478,1.71636,1.33223,1.6654,0.0011288,0.0011288,0.0011288
24,2630.09,1.56082,1.37175,1.53967,0.71953,0.60702,0.68067,0.35766,1.71822,1.32617,1.65439,0.0010892,0.0010892,0.0010892
25,2737.8,1.56265,1.3757,1.54402,0.72873,0.62543,0.69673,0.37273,1.70011,1.27841,1.63756,0.0010496,0.0010496,0.0010496
26,2845.36,1.54649,1.35471,1.53346,0.72602,0.61143,0.68624,0.36612,1.69494,1.30992,1.63257,0.00101,0.00101,0.00101
27,2953.2,1.52833,1.33044,1.51539,0.73458,0.59928,0.68781,0.36927,1.67867,1.30412,1.6284,0.0009704,0.0009704,0.0009704
28,3060.81,1.52609,1.32855,1.51693,0.74004,0.62946,0.70255,0.37839,1.67079,1.28299,1.62204,0.0009308,0.0009308,0.0009308
29,3168.09,1.52018,1.29155,1.50289,0.7141,0.64864,0.71063,0.3838,1.67459,1.25538,1.63181,0.0008912,0.0008912,0.0008912
30,3275.83,1.50146,1.27754,1.48941,0.75806,0.63279,0.71279,0.38563,1.67685,1.24067,1.6177,0.0008516,0.0008516,0.0008516
31,3384.38,1.50994,1.28947,1.50468,0.74584,0.63272,0.70969,0.38824,1.66114,1.26871,1.60097,0.000812,0.000812,0.000812
32,3493.41,1.49606,1.28397,1.50032,0.76005,0.64288,0.72348,0.39584,1.64104,1.23324,1.59961,0.0007724,0.0007724,0.0007724
33,3601.32,1.49447,1.27074,1.49258,0.75527,0.66053,0.72651,0.40457,1.62507,1.20383,1.5874,0.0007328,0.0007328,0.0007328
34,3709.17,1.48505,1.26205,1.48824,0.74173,0.65821,0.72394,0.40072,1.6237,1.22488,1.59423,0.0006932,0.0006932,0.0006932
35,3816.64,1.48286,1.23541,1.48766,0.75601,0.65324,0.72386,0.3979,1.62885,1.2139,1.59508,0.0006536,0.0006536,0.0006536
36,3923.83,1.46424,1.23426,1.47722,0.75375,0.66628,0.73081,0.4083,1.62491,1.18894,1.57923,0.000614,0.000614,0.000614
37,4031.35,1.46278,1.21312,1.47239,0.75407,0.6565,0.73298,0.40756,1.60911,1.1982,1.57212,0.0005744,0.0005744,0.0005744
38,4139.23,1.45845,1.21494,1.47053,0.77639,0.66321,0.74568,0.41697,1.59986,1.17732,1.56113,0.0005348,0.0005348,0.0005348
39,4246.57,1.4391,1.19834,1.45854,0.80727,0.65075,0.7485,0.42485,1.59563,1.14374,1.56238,0.0004952,0.0004952,0.0004952
40,4354.2,1.44102,1.1799,1.4599,0.78355,0.66015,0.74747,0.42223,1.59745,1.15296,1.55905,0.0004556,0.0004556,0.0004556
41,4461.55,1.42163,1.07524,1.45516,0.78698,0.68316,0.75624,0.43105,1.57239,1.12661,1.55181,0.000416,0.000416,0.000416
42,4567.97,1.40492,1.04638,1.44345,0.79173,0.6847,0.76354,0.43675,1.55356,1.11611,1.54041,0.0003764,0.0003764,0.0003764
43,4674.68,1.40289,1.03814,1.44671,0.78628,0.69642,0.76817,0.44077,1.55831,1.10168,1.54074,0.0003368,0.0003368,0.0003368
44,4781.24,1.37911,1.01406,1.42103,0.80032,0.69352,0.76924,0.44243,1.54865,1.09569,1.53343,0.0002972,0.0002972,0.0002972
45,4887.51,1.36642,1.00353,1.42089,0.80794,0.69409,0.77124,0.44742,1.53894,1.09602,1.52487,0.0002576,0.0002576,0.0002576
46,4993.79,1.36061,0.98889,1.40758,0.79882,0.70442,0.77624,0.45187,1.53474,1.07877,1.52544,0.000218,0.000218,0.000218
47,5100.36,1.3499,0.97912,1.40973,0.80038,0.70081,0.77635,0.45597,1.52675,1.06861,1.52185,0.0001784,0.0001784,0.0001784
48,5207.2,1.34398,0.96776,1.40308,0.80474,0.71001,0.78179,0.45842,1.52078,1.05835,1.51583,0.0001388,0.0001388,0.0001388
49,5313.79,1.32789,0.9558,1.39378,0.81539,0.70771,0.78324,0.46046,1.52137,1.05416,1.51495,9.92e-05,9.92e-05,9.92e-05
50,5420.79,1.32422,0.94175,1.38718,0.81332,0.71192,0.78548,0.46328,1.51194,1.04838,1.50853,5.96e-05,5.96e-05,5.96e-05
