epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2354,3.18032,3.65045,3.59904,0.10419,0.12505,0.04876,0.01429,2.75822,3.56049,3.0749,0.000664917,0.000664917,0.000664917
2,142.657,2.45324,2.83908,2.71002,0.28452,0.27968,0.19201,0.06657,2.36053,3.33694,2.5969,0.00130522,0.00130522,0.00130522
3,210.994,2.18008,2.45658,2.38536,0.39611,0.32259,0.27352,0.09389,2.30157,2.42047,2.46465,0.00191912,0.00191912,0.00191912
4,279.618,2.06988,2.2881,2.23533,0.40929,0.30783,0.28409,0.11168,2.23326,2.49103,2.44084,0.0018812,0.0018812,0.0018812
5,79.7673,2.00432,2.19787,2.15228,0.51885,0.40205,0.40429,0.17449,2.08335,2.07812,2.2435,0.0018416,0.0018416,0.0018416
6,157.918,1.95343,2.0851,2.08854,0.54325,0.44112,0.44508,0.19535,2.04472,1.99675,2.2012,0.001802,0.001802,0.001802
7,236.247,1.9035,2.00827,2.0414,0.57616,0.43422,0.45661,0.20352,2.0244,2.00899,2.16227,0.0017624,0.0017624,0.0017624
8,315.469,1.86263,1.95769,2.00477,0.54949,0.43249,0.4438,0.19543,2.04123,2.00522,2.19593,0.0017228,0.0017228,0.0017228
9,394.307,1.84881,1.93194,1.9841,0.60431,0.46049,0.48765,0.22432,1.9593,1.8984,2.11744,0.0016832,0.0016832,0.0016832
10,473.343,1.84162,1.91361,1.9653,0.6084,0.46633,0.49938,0.23216,1.94808,1.86961,2.09697,0.0016436,0.0016436,0.0016436
11,551.834,1.82164,1.8619,1.95173,0.60986,0.45876,0.49421,0.22802,1.94836,1.93408,2.09996,0.001604,0.001604,0.001604
12,629.588,1.80477,1.8511,1.93714,0.60366,0.48293,0.51366,0.23753,1.90913,1.7958,2.05007,0.0015644,0.0015644,0.0015644
13,706.718,1.77783,1.79798,1.90994,0.63329,0.51227,0.55122,0.25806,1.89093,1.78377,2.06374,0.0015248,0.0015248,0.0015248
14,782.604,1.77534,1.77979,1.9136,0.64623,0.51419,0.55785,0.26353,1.90655,1.71933,2.07664,0.0014852,0.0014852,0.0014852
15,858.72,1.76173,1.7588,1.90642,0.64654,0.53676,0.56921,0.27591,1.84953,1.70416,2.03271,0.0014456,0.0014456,0.0014456
16,933.108,1.75092,1.72512,1.88598,0.65964,0.53935,0.58457,0.2881,1.85984,1.62523,2.02314,0.001406,0.001406,0.001406
17,1007.8,1.73495,1.70731,1.87673,0.67067,0.49847,0.55854,0.27414,1.88751,1.69495,2.03568,0.0013664,0.0013664,0.0013664
18,1083.09,1.72053,1.6757,1.8685,0.66366,0.52566,0.58085,0.28706,1.85928,1.61633,2.02381,0.0013268,0.0013268,0.0013268
19,1155.87,1.71369,1.6585,1.85393,0.68456,0.53049,0.59641,0.29217,1.8407,1.5974,1.99237,0.0012872,0.0012872,0.0012872
20,1229.84,1.70226,1.6706,1.85668,0.68888,0.54485,0.60762,0.30413,1.83769,1.5943,2.00199,0.0012476,0.0012476,0.0012476
21,1303.75,1.70475,1.64851,1.84782,0.6782,0.5473,0.59806,0.29848,1.82285,1.63373,1.98958,0.001208,0.001208,0.001208
22,1378.12,1.68273,1.6159,1.82648,0.65518,0.55428,0.60016,0.30096,1.82032,1.56567,1.96036,0.0011684,0.0011684,0.0011684
23,1451.63,1.68414,1.62437,1.83655,0.68709,0.54526,0.61027,0.30624,1.80337,1.53735,1.96895,0.0011288,0.0011288,0.0011288
24,1524.74,1.67976,1.60886,1.82282,0.684,0.56061,0.6212,0.31164,1.80228,1.54403,1.96772,0.0010892,0.0010892,0.0010892
25,1597.97,1.66654,1.57676,1.81637,0.69475,0.56732,0.62468,0.3147,1.80076,1.51035,1.95683,0.0010496,0.0010496,0.0010496
26,1672.33,1.65657,1.55789,1.81289,0.6905,0.57154,0.63215,0.32119,1.78199,1.46976,1.94792,0.00101,0.00101,0.00101
27,1745.94,1.66999,1.57336,1.82,0.69228,0.57077,0.63163,0.32482,1.75884,1.49605,1.92835,0.0009704,0.0009704,0.0009704
28,1819.19,1.64174,1.53708,1.80146,0.69294,0.57806,0.63986,0.32544,1.76878,1.48721,1.93862,0.0009308,0.0009308,0.0009308
29,1894.48,1.64859,1.54705,1.80094,0.71415,0.5745,0.64476,0.33164,1.77046,1.45635,1.93491,0.0008912,0.0008912,0.0008912
30,1968.52,1.63458,1.53381,1.79877,0.71032,0.54833,0.62322,0.32258,1.77719,1.50018,1.94392,0.0008516,0.0008516,0.0008516
31,2043.26,1.61694,1.51017,1.77993,0.71572,0.5702,0.64368,0.3388,1.73773,1.46123,1.90006,0.000812,0.000812,0.000812
32,2116.55,1.6158,1.51095,1.77209,0.71608,0.56598,0.64229,0.34087,1.73355,1.45117,1.90241,0.0007724,0.0007724,0.0007724
33,2190.79,1.60656,1.46715,1.75499,0.70516,0.61584,0.66723,0.35194,1.73519,1.40093,1.90373,0.0007328,0.0007328,0.0007328
34,2264.07,1.58482,1.46008,1.74598,0.7124,0.58937,0.66041,0.34817,1.73257,1.42792,1.89987,0.0006932,0.0006932,0.0006932
35,2338.45,1.59256,1.46574,1.76217,0.71742,0.57458,0.65068,0.34357,1.7319,1.42113,1.90655,0.0006536,0.0006536,0.0006536
36,76.5824,1.58586,1.46378,1.75799,0.73896,0.59302,0.66782,0.35494,1.72718,1.39084,1.90326,0.000614,0.000614,0.000614
37,153.057,1.58159,1.4407,1.75427,0.72641,0.59274,0.66954,0.35729,1.72426,1.38507,1.88844,0.0005744,0.0005744,0.0005744
38,228.365,1.57433,1.42484,1.75246,0.72809,0.5982,0.67368,0.36012,1.71852,1.37923,1.88614,0.0005348,0.0005348,0.0005348
39,303.298,1.56256,1.40901,1.74019,0.71547,0.60717,0.67683,0.36433,1.70333,1.36873,1.88182,0.0004952,0.0004952,0.0004952
40,377.308,1.5441,1.40516,1.72795,0.74129,0.59839,0.67843,0.36763,1.70182,1.36196,1.8805,0.0004556,0.0004556,0.0004556
41,451.901,1.55199,1.30567,1.74354,0.71569,0.6168,0.68047,0.36936,1.68453,1.34592,1.86614,0.000416,0.000416,0.000416
42,524.777,1.53262,1.28643,1.74199,0.73765,0.6168,0.69375,0.38057,1.66985,1.31496,1.85828,0.0003764,0.0003764,0.0003764
43,595.798,1.52011,1.26381,1.73539,0.75163,0.61408,0.69896,0.3846,1.66331,1.30923,1.85377,0.0003368,0.0003368,0.0003368
44,666.672,1.50622,1.25044,1.71203,0.75454,0.61551,0.70221,0.38578,1.65684,1.30568,1.84485,0.0002972,0.0002972,0.0002972
45,737.922,1.49266,1.23556,1.70561,0.74487,0.61949,0.69748,0.3886,1.64486,1.30006,1.84326,0.0002576,0.0002576,0.0002576
46,809.63,1.49007,1.21372,1.70058,0.74268,0.63061,0.70288,0.39101,1.64555,1.29717,1.84273,0.000218,0.000218,0.000218
47,881.381,1.48324,1.22372,1.70354,0.74496,0.62812,0.70604,0.3935,1.64414,1.27742,1.83927,0.0001784,0.0001784,0.0001784
48,71.7407,1.50485,1.36189,1.70599,0.75003,0.62382,0.70326,0.39054,1.65266,1.28975,1.8482,0.0001388,0.0001388,0.0001388
49,143.682,1.48553,1.3195,1.69232,0.751,0.62888,0.70437,0.39287,1.6475,1.28632,1.84407,9.92e-05,9.92e-05,9.92e-05
50,215.754,1.47539,1.30786,1.68612,0.74385,0.63464,0.70629,0.39593,1.64679,1.27251,1.84292,5.96e-05,5.96e-05,5.96e-05
