Model,Conf,Images,GT_Objects,Pred_Objects,TP,FP,FN,TN,Precision,Accuracy,Recall,F1
YOLOv11,0.25,600,1139,1117,880,237,259,125,0.6275748162512869,0.7802638565138565,0.6271255602634913,0.6135211117305343
YOLOv11,0.5,600,1139,703,658,45,481,142,0.6118994708994709,0.7371482452732453,0.5080472383618935,0.5365471466821006
YOLOv11,0.7,600,1139,408,399,9,740,142,0.4677777777777778,0.5886677897453759,0.35258048815807436,0.3844693139104904
YOLOv12n,0.25,600,1139,1128,886,242,253,116,0.62387860307969,0.7681864801864802,0.6329077335499749,0.6149213807692135
YOLOv12n,0.5,600,1139,749,694,55,445,136,0.6200494829244829,0.7427462722462723,0.5271360494550149,0.5518446859011874
YOLOv12n,0.7,600,1139,432,426,6,713,142,0.4827777777777778,0.5990397732854629,0.3645953288410185,0.3955789097884686
YOLOv8-FPN,0.25,600,1139,1138,841,297,298,108,0.5733073801198801,0.6986194083694084,0.603023874752323,0.5690451035419066
YOLOv8-FPN,0.5,600,1139,656,606,50,533,137,0.5662294973544973,0.6789180257800947,0.46385291033997933,0.4894749032643769
YOLOv8-FPN,0.7,600,1139,328,319,9,820,142,0.38958333333333334,0.5155981815119746,0.27906463172842483,0.30785252359208715
YOLOv8n,0.25,600,1139,1146,905,241,234,126,0.6240379389129389,0.7866602598790099,0.6392653593213938,0.6174223049469887
YOLOv8n,0.5,600,1139,779,727,52,412,140,0.6220686628186628,0.7638128375455961,0.5403872723700309,0.5631706995128881
YOLOv8n,0.7,600,1139,483,471,12,668,142,0.5179166666666667,0.6339185399530227,0.3990852066196894,0.43044743911346073
YOLOv9c,0.25,600,1139,1192,927,265,212,112,0.6263699124949125,0.770893353510289,0.654346801984733,0.626305100419988
YOLOv9c,0.5,600,1139,797,749,48,390,138,0.6347704425204426,0.7706482299628852,0.5520767412663964,0.5748509039574964
YOLOv9c,0.7,600,1139,515,505,10,634,142,0.5370277777777778,0.6532971021634815,0.41917805454443385,0.45025243356861
