Model,Conf,Images,TP,TN,FP,FN,Precision,Recall,F1
YOLOv8n,0.25,600.0,447.0,126.0,16.0,11.0,0.9654427645788337,0.9759825327510917,0.970684039087948
YOLOv11,0.25,600.0,441.0,125.0,17.0,17.0,0.962882096069869,0.962882096069869,0.962882096069869
YOLOv9c,0.25,600.0,450.0,112.0,30.0,8.0,0.9375,0.982532751091703,0.9594882729211087
YOLOv12n,0.25,600.0,444.0,116.0,26.0,14.0,0.9446808510638298,0.9694323144104804,0.956896551724138
YOLOv8-FPN,0.25,600.0,437.0,108.0,34.0,21.0,0.9278131634819533,0.9541484716157205,0.9407965554359525
YOLOv9c,0.5,600.0,403.0,138.0,4.0,55.0,0.9901719901719902,0.8799126637554585,0.931791907514451
YOLOv8n,0.5,600.0,400.0,140.0,2.0,58.0,0.9950248756218906,0.8733624454148472,0.9302325581395349
YOLOv12n,0.5,600.0,399.0,136.0,6.0,59.0,0.9851851851851852,0.87117903930131,0.9246813441483197
YOLOv11,0.5,600.0,393.0,142.0,0.0,65.0,1.0,0.8580786026200873,0.9236192714453584
YOLOv8-FPN,0.5,600.0,361.0,137.0,5.0,97.0,0.9863387978142076,0.7882096069868996,0.8762135922330098
YOLOv9c,0.7,600.0,329.0,142.0,0.0,129.0,1.0,0.7183406113537117,0.8360864040660737
YOLOv8n,0.7,600.0,321.0,142.0,0.0,137.0,1.0,0.7008733624454149,0.8241335044929397
YOLOv12n,0.7,600.0,294.0,142.0,0.0,164.0,1.0,0.6419213973799127,0.7819148936170213
YOLOv11,0.7,600.0,287.0,142.0,0.0,171.0,1.0,0.6266375545851528,0.7704697986577181
YOLOv8-FPN,0.7,600.0,241.0,142.0,0.0,217.0,1.0,0.5262008733624454,0.6895565092989986
