epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.467,2.88022,3.18033,2.85137,0.15401,0.12735,0.0667,0.02125,2.71416,4.19402,2.70111,0.00166229,0.00166229,0.0684164
2,155.59,2.30018,2.68874,2.35931,0.32812,0.26237,0.196,0.07047,2.34745,2.92731,2.42733,0.00332839,0.00332839,0.0367492
3,232.771,2.15289,2.49292,2.22931,0.39137,0.30878,0.27075,0.10155,2.20711,2.5165,2.28921,0.00499224,0.00499224,0.00507973
4,310.517,2.10359,2.3938,2.17242,0.42105,0.3481,0.30907,0.1139,2.19882,2.44406,2.29598,0.00499237,0.00499237,0.00499237
5,388.028,2.02853,2.28772,2.1154,0.48452,0.40046,0.37916,0.15474,2.06791,2.26537,2.17257,0.00498644,0.00498644,0.00498644
6,463.97,1.98971,2.20439,2.07471,0.525,0.41293,0.41599,0.1785,2.06904,2.15837,2.13345,0.00497883,0.00497883,0.00497883
7,541.059,1.96642,2.16317,2.05734,0.52438,0.3692,0.37533,0.16153,2.1083,2.22028,2.20144,0.00496953,0.00496953,0.00496953
8,618.139,1.92864,2.12702,2.0379,0.54043,0.44802,0.45219,0.19874,1.98568,2.03996,2.11398,0.00495856,0.00495856,0.00495856
9,696.696,1.91449,2.05756,2.00769,0.5724,0.45033,0.47139,0.20174,2.018,1.95655,2.09656,0.00494592,0.00494592,0.00494592
10,774.117,1.90143,2.04796,1.99415,0.61487,0.45512,0.48952,0.21669,2.01058,1.90696,2.10652,0.00493162,0.00493162,0.00493162
11,852.549,1.87503,2.00331,1.98247,0.60253,0.50729,0.51762,0.22528,1.95105,1.90512,2.07033,0.00491567,0.00491567,0.00491567
12,930.336,1.85815,1.96002,1.96374,0.62796,0.46874,0.51299,0.23652,1.92228,1.90617,2.02356,0.00489808,0.00489808,0.00489808
13,1009.97,1.83354,1.93094,1.94566,0.51653,0.35596,0.36832,0.16288,2.10123,2.30423,2.23904,0.00487886,0.00487886,0.00487886
14,1088.85,1.82764,1.91987,1.94614,0.62799,0.4626,0.50641,0.2382,1.92237,1.82184,2.03718,0.00485804,0.00485804,0.00485804
15,1168.05,1.82611,1.90718,1.93504,0.64024,0.47334,0.52611,0.2429,1.95272,1.80085,2.03239,0.00483561,0.00483561,0.00483561
16,1247.77,1.81096,1.87584,1.9213,0.67135,0.50288,0.55258,0.26958,1.8729,1.73555,1.97468,0.0048116,0.0048116,0.0048116
17,1326.4,1.80419,1.86377,1.91171,0.6706,0.52493,0.58575,0.28268,1.88324,1.65096,1.99505,0.00478603,0.00478603,0.00478603
18,1404.26,1.7962,1.84387,1.90606,0.64169,0.52037,0.5637,0.26882,1.8825,1.66495,1.97037,0.0047589,0.0047589,0.0047589
19,1482.89,1.78002,1.82182,1.89343,0.64385,0.52551,0.56439,0.2722,1.88206,1.69775,1.99397,0.00473024,0.00473024,0.00473024
