epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5663,1.79156,2.24499,1.63229,0.16584,0.27541,0.09497,0.03807,2.1437,2.82145,1.92891,0.000664917,0.000664917,0.000664917
2,77.1739,1.82952,1.93516,1.67564,0.41062,0.26467,0.25015,0.10681,2.25469,2.54463,2.01689,0.00130522,0.00130522,0.00130522
3,154.158,1.85062,1.90297,1.69692,0.49085,0.41158,0.38444,0.16498,2.04478,2.18929,1.85012,0.00191912,0.00191912,0.00191912
4,230.506,1.8204,1.85014,1.67251,0.52894,0.40276,0.41685,0.18497,2.04592,2.0297,1.84032,0.0018812,0.0018812,0.0018812
5,304.384,1.7702,1.76334,1.6499,0.58475,0.4513,0.47584,0.21105,1.98104,1.94225,1.84098,0.0018416,0.0018416,0.0018416
6,376.864,1.74277,1.72363,1.63822,0.59326,0.49885,0.51692,0.23788,1.90903,1.78014,1.7694,0.001802,0.001802,0.001802
7,449.587,1.73036,1.69113,1.6129,0.61004,0.50537,0.53412,0.25261,1.91795,1.69135,1.7531,0.0017624,0.0017624,0.0017624
8,522.181,1.70692,1.63896,1.60421,0.60554,0.50249,0.52944,0.2553,1.88538,1.78957,1.71425,0.0017228,0.0017228,0.0017228
9,594.783,1.68287,1.62084,1.58699,0.59758,0.45915,0.50427,0.24791,1.88508,1.7574,1.76004,0.0016832,0.0016832,0.0016832
10,667.403,1.66891,1.58301,1.57756,0.63561,0.52657,0.56808,0.27831,1.84093,1.65129,1.66649,0.0016436,0.0016436,0.0016436
11,740.259,1.65322,1.54264,1.55883,0.62618,0.51649,0.55805,0.27303,1.8654,1.67383,1.72406,0.001604,0.001604,0.001604
12,811.819,1.65168,1.53387,1.56176,0.60893,0.49305,0.53395,0.2773,1.82469,1.70514,1.7151,0.0015644,0.0015644,0.0015644
13,882.065,1.63801,1.50345,1.54808,0.65194,0.56655,0.61308,0.31241,1.76484,1.54774,1.64338,0.0015248,0.0015248,0.0015248
14,952.271,1.62355,1.48089,1.53598,0.64346,0.52493,0.58281,0.29551,1.81596,1.56308,1.6615,0.0014852,0.0014852,0.0014852
15,1022.64,1.60389,1.45768,1.53188,0.64938,0.54373,0.59968,0.31252,1.77149,1.51955,1.66265,0.0014456,0.0014456,0.0014456
16,1092.67,1.60386,1.4557,1.52967,0.67337,0.59187,0.64145,0.32186,1.77412,1.46428,1.63623,0.001406,0.001406,0.001406
17,1162.91,1.58811,1.44146,1.52194,0.69257,0.57806,0.63958,0.32867,1.77403,1.51429,1.65645,0.0013664,0.0013664,0.0013664
18,1234.21,1.58183,1.42116,1.51575,0.68136,0.5996,0.65293,0.33621,1.75861,1.42025,1.63421,0.0013268,0.0013268,0.0013268
19,1306.07,1.57042,1.40225,1.50744,0.71059,0.59992,0.66787,0.34462,1.74614,1.39281,1.62046,0.0012872,0.0012872,0.0012872
20,1377.35,1.57687,1.40734,1.51306,0.70642,0.59301,0.65951,0.34635,1.7224,1.39669,1.60077,0.0012476,0.0012476,0.0012476
21,1449.02,1.56106,1.38121,1.49396,0.71737,0.58113,0.65504,0.3377,1.73341,1.41764,1.60989,0.001208,0.001208,0.001208
22,1519.19,1.54212,1.36123,1.48716,0.70988,0.60932,0.6744,0.35462,1.72954,1.34215,1.59407,0.0011684,0.0011684,0.0011684
23,1589.6,1.5344,1.34509,1.47808,0.73224,0.60433,0.67962,0.36068,1.7094,1.32431,1.58485,0.0011288,0.0011288,0.0011288
24,1660.68,1.5492,1.35372,1.49175,0.73783,0.61834,0.6951,0.36914,1.69191,1.3413,1.58342,0.0010892,0.0010892,0.0010892
25,1730.97,1.52042,1.3175,1.47088,0.72298,0.62167,0.6944,0.36929,1.68117,1.29772,1.56797,0.0010496,0.0010496,0.0010496
26,1801.12,1.52092,1.32153,1.4717,0.74916,0.62409,0.70509,0.37974,1.69141,1.26183,1.58785,0.00101,0.00101,0.00101
27,1871.06,1.5111,1.30287,1.46893,0.73389,0.6285,0.69935,0.37754,1.66539,1.27913,1.54997,0.0009704,0.0009704,0.0009704
28,1941.16,1.49324,1.27839,1.45438,0.72905,0.63483,0.69963,0.37827,1.66059,1.30085,1.55733,0.0009308,0.0009308,0.0009308
29,2011.31,1.49064,1.28453,1.45116,0.75187,0.62812,0.695,0.37835,1.66159,1.27564,1.56945,0.0008912,0.0008912,0.0008912
30,2081.18,1.4809,1.24542,1.43711,0.77102,0.65593,0.73327,0.40409,1.62747,1.209,1.52958,0.0008516,0.0008516,0.0008516
31,2151.19,1.46567,1.23657,1.42724,0.75766,0.64614,0.72353,0.39425,1.64552,1.22046,1.53803,0.000812,0.000812,0.000812
32,2221.45,1.47101,1.24171,1.43416,0.73944,0.65533,0.72539,0.40017,1.62625,1.22127,1.51688,0.0007724,0.0007724,0.0007724
33,2291.49,1.45585,1.23218,1.42836,0.77153,0.65866,0.73374,0.40825,1.6121,1.19716,1.5275,0.0007328,0.0007328,0.0007328
34,2361.77,1.4517,1.21222,1.42072,0.76125,0.6531,0.72813,0.41041,1.5969,1.17867,1.52319,0.0006932,0.0006932,0.0006932
35,2431.66,1.44157,1.20599,1.41566,0.78119,0.66187,0.73912,0.40887,1.61684,1.19143,1.52344,0.0006536,0.0006536,0.0006536
36,2501.88,1.44411,1.18968,1.41884,0.76558,0.66341,0.73306,0.40903,1.6003,1.18918,1.5124,0.000614,0.000614,0.000614
37,2571.73,1.42804,1.18304,1.40798,0.76982,0.67549,0.74366,0.41563,1.61459,1.15031,1.51373,0.0005744,0.0005744,0.0005744
38,2641.61,1.42105,1.16728,1.40568,0.76819,0.67689,0.74776,0.41929,1.58842,1.14043,1.50805,0.0005348,0.0005348,0.0005348
39,2711.7,1.42074,1.16319,1.40513,0.77958,0.67153,0.75097,0.42625,1.56995,1.14506,1.48436,0.0004952,0.0004952,0.0004952
40,2781.86,1.39715,1.14232,1.38953,0.77629,0.67856,0.74672,0.42684,1.57866,1.1491,1.4929,0.0004556,0.0004556,0.0004556
41,2852,1.39899,1.05971,1.40091,0.78704,0.68393,0.75723,0.436,1.55662,1.11748,1.49071,0.000416,0.000416,0.000416
42,2921.77,1.38078,1.02272,1.38686,0.79268,0.68143,0.76201,0.44029,1.55695,1.10416,1.4839,0.0003764,0.0003764,0.0003764
43,2991.23,1.36704,0.99986,1.38004,0.7925,0.69122,0.76873,0.44854,1.53675,1.08295,1.47234,0.0003368,0.0003368,0.0003368
44,3060.4,1.36105,0.99759,1.37891,0.7841,0.69083,0.76685,0.45054,1.52869,1.08124,1.46827,0.0002972,0.0002972,0.0002972
45,3130.12,1.34214,0.97735,1.36412,0.80247,0.69654,0.76992,0.45294,1.52198,1.08108,1.46079,0.0002576,0.0002576,0.0002576
46,3199.73,1.33904,0.96333,1.36115,0.79627,0.7069,0.77515,0.45521,1.51671,1.0636,1.45714,0.000218,0.000218,0.000218
47,3269.19,1.3284,0.95377,1.34836,0.80113,0.71059,0.77693,0.45832,1.50609,1.0563,1.45261,0.0001784,0.0001784,0.0001784
48,3339.01,1.32592,0.95054,1.34988,0.81028,0.69678,0.77605,0.4621,1.49914,1.05243,1.44629,0.0001388,0.0001388,0.0001388
49,3408.05,1.30316,0.93076,1.3379,0.80999,0.70924,0.78171,0.4647,1.49825,1.04218,1.44567,9.92e-05,9.92e-05,9.92e-05
50,3477.17,1.29781,0.92323,1.33463,0.81017,0.7102,0.78235,0.46523,1.49752,1.03889,1.44438,5.96e-05,5.96e-05,5.96e-05
