epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.227,1.92046,2.22634,1.9036,0.41246,0.35692,0.32262,0.12827,2.20116,3.33515,2.3256,0.000664917,0.000664917,0.000664917
2,705.017,1.98096,2.1677,1.9545,0.37485,0.37399,0.24131,0.09656,2.16682,3.00466,2.21251,0.00130522,0.00130522,0.00130522
3,1051.94,1.92885,2.06741,1.90409,0.49477,0.39298,0.38411,0.15673,2.1234,2.38515,2.10851,0.00191912,0.00191912,0.00191912
4,1397.84,1.85772,1.96322,1.84022,0.53172,0.43633,0.43801,0.18494,2.06578,1.98739,2.05926,0.0018812,0.0018812,0.0018812
5,1743.1,1.80727,1.87258,1.81223,0.57529,0.44054,0.46235,0.21414,1.94817,1.91112,1.97888,0.0018416,0.0018416,0.0018416
6,2088.05,1.76795,1.79785,1.76657,0.58595,0.45378,0.4896,0.22489,1.9493,1.84055,1.95059,0.001802,0.001802,0.001802
7,2433.08,1.74066,1.73546,1.74287,0.51737,0.3972,0.39436,0.17782,2.03272,2.06051,2.02751,0.0017624,0.0017624,0.0017624
8,2777.41,1.72378,1.73026,1.73869,0.60231,0.52628,0.55071,0.26282,1.85695,1.62205,1.8406,0.0017228,0.0017228,0.0017228
9,3122.33,1.70308,1.64798,1.72553,0.57775,0.48619,0.50541,0.24248,1.87763,1.75281,1.88933,0.0016832,0.0016832,0.0016832
10,3466.47,1.68228,1.63216,1.70672,0.63755,0.51313,0.5628,0.26396,1.89067,1.61955,1.88502,0.0016436,0.0016436,0.0016436
11,3810.74,1.68424,1.59346,1.72219,0.66379,0.50748,0.57039,0.2872,1.811,1.61231,1.86732,0.001604,0.001604,0.001604
12,4155.3,1.66368,1.56236,1.69784,0.64285,0.52397,0.57245,0.28229,1.83328,1.5888,1.85952,0.0015644,0.0015644,0.0015644
13,4499.51,1.64633,1.54619,1.6857,0.66034,0.50288,0.56489,0.28593,1.80768,1.6622,1.83151,0.0015248,0.0015248,0.0015248
14,4843.28,1.62145,1.51227,1.67045,0.67024,0.54507,0.59997,0.29848,1.82079,1.53746,1.85394,0.0014852,0.0014852,0.0014852
15,5187.23,1.61407,1.48698,1.66873,0.67461,0.56176,0.62009,0.3047,1.78823,1.51997,1.80851,0.0014456,0.0014456,0.0014456
16,5531.05,1.60364,1.50743,1.65857,0.68639,0.56796,0.63075,0.31862,1.7863,1.4827,1.8264,0.001406,0.001406,0.001406
17,5875.47,1.59945,1.46821,1.64808,0.69869,0.5583,0.62251,0.31001,1.81037,1.46946,1.83574,0.0013664,0.0013664,0.0013664
18,6219.27,1.58305,1.44489,1.63735,0.70085,0.57269,0.64257,0.32452,1.77954,1.45192,1.80633,0.0013268,0.0013268,0.0013268
19,6563.26,1.5837,1.44609,1.64309,0.69243,0.55946,0.63809,0.32693,1.77463,1.42869,1.7967,0.0012872,0.0012872,0.0012872
20,6907.83,1.56923,1.4213,1.62276,0.70909,0.54239,0.6241,0.32414,1.76325,1.4598,1.81237,0.0012476,0.0012476,0.0012476
21,7252.07,1.54966,1.39067,1.61757,0.6894,0.59091,0.65383,0.34197,1.74248,1.36677,1.78321,0.001208,0.001208,0.001208
22,7596.82,1.54621,1.37607,1.62093,0.72056,0.59298,0.67074,0.3543,1.71226,1.34374,1.74797,0.0011684,0.0011684,0.0011684
23,7941.93,1.55096,1.38019,1.61902,0.69952,0.58625,0.65826,0.34905,1.69434,1.4442,1.74743,0.0011288,0.0011288,0.0011288
24,8286.27,1.52813,1.34961,1.6017,0.72282,0.58899,0.67682,0.36571,1.67444,1.34715,1.72533,0.0010892,0.0010892,0.0010892
25,8630.63,1.5244,1.34117,1.59419,0.73099,0.6082,0.6866,0.36848,1.69141,1.28024,1.73323,0.0010496,0.0010496,0.0010496
26,8975.29,1.50921,1.31993,1.59213,0.72532,0.60453,0.68312,0.37079,1.66687,1.31551,1.71916,0.00101,0.00101,0.00101
27,9320.2,1.49457,1.30275,1.57766,0.70821,0.61316,0.67909,0.3671,1.6724,1.31796,1.72358,0.0009704,0.0009704,0.0009704
28,9664.89,1.48191,1.29626,1.56781,0.73142,0.6278,0.69074,0.37244,1.66212,1.30375,1.72416,0.0009308,0.0009308,0.0009308
29,10009.3,1.48214,1.2597,1.55758,0.72488,0.63943,0.71,0.38837,1.63021,1.261,1.70204,0.0008912,0.0008912,0.0008912
30,10354,1.45487,1.2431,1.54471,0.76183,0.62759,0.71378,0.39256,1.62861,1.23622,1.70262,0.0008516,0.0008516,0.0008516
31,10698.3,1.46144,1.24956,1.55964,0.73567,0.61385,0.70016,0.38733,1.62826,1.26181,1.69569,0.000812,0.000812,0.000812
32,11042.1,1.45248,1.24742,1.55758,0.7566,0.64691,0.72422,0.40467,1.61064,1.2054,1.6904,0.0007724,0.0007724,0.0007724
33,11386.3,1.43514,1.20672,1.53806,0.75747,0.63676,0.72445,0.40703,1.60516,1.19406,1.6861,0.0007328,0.0007328,0.0007328
34,11730.6,1.43161,1.19877,1.53285,0.75714,0.65382,0.73264,0.41368,1.58888,1.18418,1.66547,0.0006932,0.0006932,0.0006932
35,342.846,1.46199,1.2587,1.57096,0.73405,0.6471,0.71393,0.39913,1.61563,1.22007,1.70803,0.0006536,0.0006536,0.0006536
36,685.647,1.41993,1.19511,1.53407,0.74709,0.66034,0.73215,0.41403,1.59608,1.17765,1.6774,0.000614,0.000614,0.000614
37,1028.38,1.41298,1.16084,1.5296,0.75954,0.66699,0.74179,0.41865,1.58538,1.15886,1.68081,0.0005744,0.0005744,0.0005744
38,1371.07,1.3967,1.15004,1.51846,0.77078,0.67089,0.74554,0.42443,1.58043,1.12797,1.66631,0.0005348,0.0005348,0.0005348
39,1713.88,1.36636,1.13286,1.49891,0.76413,0.6704,0.74614,0.42826,1.56818,1.1358,1.67525,0.0004952,0.0004952,0.0004952
40,2057.21,1.3737,1.12953,1.50071,0.7602,0.68462,0.75118,0.43523,1.55781,1.13553,1.65387,0.0004556,0.0004556,0.0004556
41,2400.18,1.36482,1.03164,1.51283,0.78448,0.66112,0.75461,0.43995,1.54433,1.09736,1.64186,0.000416,0.000416,0.000416
42,2742.2,1.344,0.99967,1.49781,0.79885,0.67409,0.76725,0.45097,1.51768,1.07803,1.62123,0.0003764,0.0003764,0.0003764
43,3084.44,1.32494,0.97882,1.4785,0.79699,0.6893,0.76958,0.45535,1.5167,1.06387,1.62415,0.0003368,0.0003368,0.0003368
44,3426.58,1.3135,0.95128,1.4724,0.78774,0.69428,0.77069,0.4581,1.50515,1.05992,1.61656,0.0002972,0.0002972,0.0002972
45,3768.67,1.29757,0.93951,1.46251,0.80142,0.69505,0.7773,0.46622,1.49073,1.03621,1.60503,0.0002576,0.0002576,0.0002576
46,4110.27,1.27619,0.91462,1.4469,0.80974,0.69428,0.7834,0.46942,1.48655,1.03083,1.59913,0.000218,0.000218,0.000218
47,4451.96,1.27053,0.90991,1.44057,0.80502,0.70522,0.78774,0.47391,1.47422,1.02132,1.58964,0.0001784,0.0001784,0.0001784
48,4794.07,1.25517,0.89158,1.42563,0.80108,0.70752,0.78685,0.47647,1.4709,1.01396,1.58865,0.0001388,0.0001388,0.0001388
49,5135.94,1.24418,0.879,1.41894,0.79857,0.7132,0.78881,0.4805,1.46102,1.00171,1.58512,9.92e-05,9.92e-05,9.92e-05
50,5477.87,1.2387,0.86895,1.41587,0.80773,0.71144,0.79174,0.48404,1.45247,1.00044,1.57682,5.96e-05,5.96e-05,5.96e-05
