Image,Model,Conf,GT_Count,Pred_Count,TP,FP,FN,Precision,Recall,F1
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8n,0.25,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv9c,0.25,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv11,0.25,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv12n,0.25,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8-FPN,0.25,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8n,0.5,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv9c,0.5,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv11,0.5,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv12n,0.5,2,2,2,0,0,1.0,1.0,1.0
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8-FPN,0.5,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8n,0.7,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv9c,0.7,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv11,0.7,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv12n,0.7,2,1,1,0,1,1.0,0.5,0.6666666666666666
0004_jpg.rf.ca7c5c7984d0c49b97d713a94471d3bb.jpg,YOLOv8-FPN,0.7,2,1,1,0,1,1.0,0.5,0.6666666666666666
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv8n,0.25,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv9c,0.25,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv11,0.25,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv12n,0.25,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv8-FPN,0.25,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv8n,0.5,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv9c,0.5,1,1,1,0,0,1.0,1.0,1.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv11,0.5,1,0,0,0,1,0.0,0.0,0.0
0389_jpg.rf.ba8ab1ddd00ab73ed568c50f9e1390eb.jpg,YOLOv12n,0.5,1,0,0,0,1,0.0,0.0,0.0
